,code,description
5bb3ae2dda3c38c71367bd3a,L22,"Residential options exclusively for older adults who want to have a simpler, maintenance-free lifestyle and enjoy the company of peers with common interests, or who require a moderate amount of support in the activities of daily living to maintain independent living."
5bb3ae2dda3c38c71367bd3b,L24,"Organizations that develop, manage and/or provide rental housing with the availability of supportive services for individuals with disabilities."
5bb3ae2dda3c38c71367bd3c,L25,"Organizations that clear slums and renew or rehabilitate old housing and other structures including abandoned buildings in blighted and depressed residential neighborhoods in order to provide a safe, sanitary and pleasant place for people to live."
5bb3ae2dda3c38c71367bd3d,L30,Organizations that assist people to find available purchasable or rental housing which meets their individual needs.
5bb3ae2dda3c38c71367bd3e,L40,"Organizations that provide a temporary place to stay for newcomers, travelers, people who are in crisis, or homeless individuals in the community."
5bb3ae2dda3c38c71367bd3f,L41,Organizations that provide a temporary place to stay for people who have no permanent housing.
5bb3ae2dda3c38c71367bd40,L80,Organizations that provide supportive services which help people obtain and remain in suitable housing. 
5bb3ae2dda3c38c71367bd41,L81,"Organizations that provide assistance for homeowners who need to upgrade their homes to make them attractive, safe, accessible and energy efficient."
5bb3ae2dda3c38c71367bd42,L82,Organizations that provide home purchase or construction loans; finance new living accommodations; or pay current housing and/or utility bills for people who cannot afford to make the payments themselves and who qualify for this service on the basis of need or income.
5bb3ae2dda3c38c71367bd43,M20,"Organizations that work to prevent, predict or control the effects of disasters (e.g. floods, earthquakes, fires, tornadoes), to educate or otherwise prepare individuals to cope with the effects of such disasters or to provide broad-based relief services to victims of such disasters. "
5bb3ae2dda3c38c71367bd44,M23,"Volunteer and other organizations that provide emergency rescue operations and/or lifesaving activities for people who are stranded, lost, accident victims, or exposed to other life-threatening dangers. Included may be organizations that participate in air rescue, mountain rescue, sea rescue, ski rescue, traffic accident rescue and urban search and rescue operations."
5bb3ae2dda3c38c71367bd45,M24,"Organizations that are responsible for the control and extinction of fires; and the inspection of buildings, hillside property and industrial plants to ensure compliance with fire codes."
5bb3ae2eda3c38c71367bd46,N20,"Organizations that operate facilities for cooperative group living experiences in the out-of-doors; and which provide opportunities to learn campcraft, nature lore and conservation, and participate in a wide range of indoor and outdoor recreational, athletic and group social activities including cookouts."
5bb3ae2eda3c38c71367bd47,N30,"Organizations that provide acreage and facilities for a broad range of recreational and fitness activities, sports and games. "
5bb3ae2eda3c38c71367bd48,N31,"Organizations that operate centers which offer, at a single location, a variety of recreational facilities such as athletic fields and courts, a gymnasium, a swimming pool and public lockers. Recreational centers usually offer an organized program of activities for community residents and provide all necessary equipment."
5bb3ae2eda3c38c71367bd49,N32,"Organizations that develop, maintain and make available to the general public recreational areas which are equipped with athletic fields and courts, campgrounds, picnic areas and a variety of recreational trails such as bridle trails, hiking trails, off-the-road vehicle trails and snowmobile trails."
5bb3ae2eda3c38c71367bd4a,O20,"Organizations that provide supervised recreational and social activities for children and youth of all ages and backgrounds, but particularly for disadvantaged youth, through youth-oriented clubs or centers with the objective of building character and developing leadership and social skills among participants. "
5bb3ae2eda3c38c71367bd4b,O21,"Organizations specifically designated as Boys Clubs that provide a wide range of supervised activities and delinquency prevention services for children and youth of all ages and backgrounds, but particularly for disadvantaged youth, with the objective of building character and developing leadership and social skills among participants."
5bb3ae2eda3c38c71367bd4c,O22,"Organizations specifically designated as Girls Clubs that provide a wide range of supervised activities and delinquency prevention services for children and youth of all ages and backgrounds, but particularly for disadvantaged youth, with the objective of building character and developing leadership and social skills among participants."
5bb3ae2eda3c38c71367bd4d,O30,"Programs, also known as adult/child mentoring programs, that provide male or female adult companionship, guidance and/or role models for young men or women. "
5bb3ae2eda3c38c71367bd4e,O31,"Organizations specifically designated as Big Brothers or Big Sisters that provide male or female adult companionship, guidance and/or role models for young men or women."
5bb3ae2eda3c38c71367bd4f,O40,"Programs that provide opportunities for children and youth to develop individual and group initiative and responsibility, self-reliance, courage, personal fitness, discipline and other desirable qualities of character through participation in a wide range of organized recreational, educational and civic activities under the leadership of qualified adult volunteers. "
5bb3ae2eda3c38c71367bd50,O41,Organizations specifically designated as Boy Scouts of America troops and councils.
5bb3ae2eda3c38c71367bd51,O42,Organizations specifically designated as Girl Scouts of the U.S.A. troops and councils.
5bb3ae2eda3c38c71367bd52,O43,Organizations specifically designated as Camp Fire programs.
5bb3ae2eda3c38c71367bd53,O50,"Programs that provide opportunities for children and youth to participate in recreational, cultural, social and civic activities through membership in clubs and other youth groups with a special focus whose purpose is to help youngsters develop their potential and grow into healthy, educated, responsible and productive adults. "
5bb3ae2eda3c38c71367bd54,O51,Organizations like Key Club that provide opportunities for children and youth to make a contribution to their local community through volunteer service projects. The purpose of the organization is to develop leadership skills and good citizenship practices in youngsters who are interested in service to others.
5bb3ae2eda3c38c71367bd55,O52,"Organizations like 4-H Club, and Future Homemakers that emphasize the total development of young people through work on animal, engineering, family/consumer health, resource, plant or social science projects in consultation with their parents and supervising adult volunteers. Members also participate in camping activities, leadership conferences, awards programs and community service activities."
5bb3ae2eda3c38c71367bd56,O53,"Organizations like Junior Achievement that utilize volunteers from the teaching profession, business and industry to provide firsthand information about the business world for children and youth. Some clubs may also initiate small business ventures under the guidance of adult volunteers."
5bb3ae2eda3c38c71367bd57,O54,Organizations like Youth Republic and Girls Nation that provide opportunities for young people to gain a clear understanding of the process of government and to develop an appreciation for their approaching citizenship responsibilities.
5bb3ae2eda3c38c71367bd58,O55,"Organizations like Youth for Christ, Campus Crusade for Christ and Liberal Religious Youth that provide a variety of recreational and social activities for young people with the objective of strengthening their religious values and meeting their spiritual needs as well as supporting their growth and development as individuals."
5bb3ae2eda3c38c71367bd59,O99,Organizations that clearly provide youth development services where the major purpose is unclear enough that a more specific code cannot be accurately assigned.
5bb3ae2fda3c38c71367bd5a,P20,Organizations that provide a broad range of social services for individuals or families. 
5bb3ae2fda3c38c71367bd5b,P21,"Separately incorporated, local chapters of the American Red Cross."
5bb3ae2fda3c38c71367bd5c,P22,"Separately incorporated, local Urban League sites."
5bb3ae2fda3c38c71367bd5d,P24,"Separately incorporated, local Salvation Army sites."
5bb3ae2fda3c38c71367bd5e,P26,"Separately incorporated, local Volunteers of America sites."
5bb3ae2fda3c38c71367bd5f,P27,"Separately incorporated, local YMCA, YWCA, YMHA, YWHA sites."
5bb3ae2fda3c38c71367bd60,P28,"Neighborhood-based multipurpose centers that offer, at a single location, a wide variety of services and activities that are structured to meet the needs of the entire community through different programs for different age and interest groups."
5bb3ae2fda3c38c71367bd61,P29,"Organizations that offer new or second-hand furniture, appliances, clothing, toys and other material goods at lower than retail prices, and which often use the proceeds from sales to support other services to the community. Thrift shops accept direct donations from the public of new and reusable goods."
5bb3ae2fda3c38c71367bd62,P30,"Organizations that provide a wide variety of informational, social and supportive services for children and youth including runaways and other troubled youth. "
5bb3ae2fda3c38c71367bd63,P31,Organizations that arrange permanent homes under new legal parentage for individuals whose birth parents are unable or unwilling to provide for their care.
5bb3ae2fda3c38c71367bd64,P32,"Organizations that provide an alternative family living arrangement in agency-supervised family homes for dependent children who have been removed from their homes because of abuse, neglect or abandonment; or for children or adults with disabilities who are unable to live with their birth families or in an independent setting."
5bb3ae2fda3c38c71367bd65,P33,Organizations that provide substitute parental care for children during some portion of a twenty-four hour day.
5bb3ae2fda3c38c71367bd66,P40,"Organizations that provide a wide variety of social services that are designed to support healthy family development, improve the familys ability to resolve problems and prevent the need for unnecessary placement of children in settings outside the home. "
5bb3ae2fda3c38c71367bd67,P42,Organizations like Parents Without Partners that provide supportive services for single parents.
5bb3ae2fda3c38c71367bd68,P43,Organizations that provide temporary shelter for women who have experienced domestic violence and for their children.
5bb3ae2fda3c38c71367bd69,P44,"Organizations that provide assistance in performing routine household, yard and personal care activities for frail elderly, disabled or indigent individuals or families whose normal routines have been disrupted by an emergency."
5bb3ae2fda3c38c71367bd6a,P45,"Organizations that provide pregnancy counseling, maternity home care and other supportive services for pregnant adolescents or adolescents who are parents."
5bb3ae2fda3c38c71367bd6b,P46,Organizations that offer therapeutic sessions which focus on the system of relationships and communication patterns among family members and which attempt to modify those relationships and patterns to achieve greater harmony. The therapist focuses on the family as a unit rather than concentrating on one of the members who is singled out as the one in need of treatment.
5bb3ae2fda3c38c71367bd6c,P47,"Organizations that provide free and confidential services to women and families facing unplanned pregnancies.  Services can include pregnancy testing and physician exams with ultrasound, counseling on pregnancy-related issues, information on STDs, healthcare & community referrals, and help with material goods such as maternity and baby items."
5bb3ae2fda3c38c71367bd6d,P50,Organizations that provide a variety of personal social services or which offer personal social services not specified below.
5bb3ae30da3c38c71367bd6e,P51,"Organizations that provide advice and guidance for people who need assistance in obtaining credit, obtaining or correcting information in their credit records, reducing their debt burden or managing their financial resources more effectively."
5bb3ae30da3c38c71367bd6f,P52,"Organizations that provide or coordinate free or low-cost transportation services for older adults, people with disabilities, people with medical conditions, people who are indigent, students and other eligible individuals."
5bb3ae30da3c38c71367bd70,P58,"Organizations - like Toys for Tots - that provide, coordinate or raise money and donations for holiday assistance and gift distribution programs, usually but not exclusively organized around holidays."
5bb3ae30da3c38c71367bd71,P60,"Organizations that provide food, clothing, household goods, cash and other forms of short-term emergency assistance for indigent individuals and families who have insufficient resources to meet their basic needs."
5bb3ae30da3c38c71367bd72,P61,"Organizations that provide supportive services including information and emergency assistance for tourists, travelers or other visitors who are stranded or have encountered other problems."
5bb3ae30da3c38c71367bd73,P62,"Organizations that provide supportive services for crime victims which may include crisis counseling, medical services, escort services, transportation, child care, financial assistance, protective services, information about the mechanics of court proceedings, assistance with forms to file for reimbursement of crime-related expenses or losses, and/or advice and guidance concerning court appearances."
5bb3ae30da3c38c71367bd74,P70,"Organizations that provide alternative living arrangements for people who require care, supervision and support on a 24-hour basis or during part of the day. "
5bb3ae30da3c38c71367bd75,P71,"Organizations that provide personal care for dependent adults or adults with disabilities in a supervised group setting during some portion of a twenty-four hour day. Services may include social and recreational activities, training that is essential for sustaining the activities of daily living and meals, as appropriate."
5bb3ae30da3c38c71367bd76,P73,"Facilities, usually located in residential neighborhoods, that provide 24-hour non-medical care for individuals with disabilities who need supervision and/or assistance with activities of daily living."
5bb3ae30da3c38c71367bd77,P74,"Organizations that provide palliative and supportive services including medical care, pain and symptom management, home nurse visitation, case management, counseling, and bereavement services for terminally ill people who are in the final stages of their illnesses and for members of their families."
5bb3ae30da3c38c71367bd78,P75,"Residential facilities for older adults who are unable to function in an independent living environment because they need assistance with toileting, bathing, dressing, medication, meals and housekeeping and other activities of daily living, but do not require nursing care on a regular basis."
5bb3ae30da3c38c71367bd79,P80,Organizations that provide multipurpose centers or services that meet the needs and interests of a particular target population. 
5bb3ae30da3c38c71367bd7a,P81,Organizations that provide or coordinate a wide variety of programs and services that meet the needs and interests of the senior population. Also included are organizations that administer funding for senior services under Title III of the Older Americans Act.
5bb3ae30da3c38c71367bd7b,P82,Organizations such as retarded citizens associations that provide or coordinate a wide variety of programs and services for people with developmental disabilities.
5bb3ae30da3c38c71367bd7c,P84,"Organizations that provide or coordinate a wide variety of programs and services that are structured to meet the social, educational, economic, recreational and other needs of specific ethnic and/or immigrant groups in ways that are culturally appropriate."
5bb3ae30da3c38c71367bd7d,P85,Organizations that provide supportive services for individuals and families who are homeless or which work with people who are at risk for homelessness in an effort to prevent them from losing their permanent residence.
5bb3ae30da3c38c71367bd7e,P86,Organizations that provide or coordinate a wide variety of programs and services for people who are blind or have visual impairments.
5bb3ae30da3c38c71367bd7f,P87,Organizations that provide or coordinate a wide variety of programs and services for people who are deaf or have hearing impairments.
5bb3ae30da3c38c71367bd80,P88,"Organizations that provide or coordinate a wide variety of programs and services that meet the needs and interests of people who are lesbian, gay, bisexual, or transgenedered."
5bb3ae31da3c38c71367bd81,P99,Organizations that clearly provide human services where the major purpose is unclear enough that a more specific code cannot be accurately assigned.
5bb3ae31da3c38c71367bd82,R20,Organizations that work for the passage and enforcement of laws or other social measures that will more effectively protect the rights of specific groups. 
5bb3ae31da3c38c71367bd83,R22,Organizations that support the passage and enforcement of laws and other social measures that protect and promote the rights and interests of one or more specific ethnic groups or individuals who have a common national origin. 
5bb3ae31da3c38c71367bd84,R23,"Organizations that support the passage and enforcement of laws or other social measures that protect the rights of people who have disabilities and maximize their ability to enjoy the same opportunities, resources and privileges as the mainstream population."
5bb3ae31da3c38c71367bd85,R25,Organizations that support the passage and enforcement of laws and other social measures that protect and promote the rights of older adults.
5bb3ae31da3c38c71367bd86,R26,"Organizations that support the passage and enforcement of laws and other social measures that protect and promote the rights and interests of individuals who are gay, lesbian, bisexual, or transgender."
5bb3ae31da3c38c71367bd87,R28,Organizations that support the passage and enforcement of laws and other social measures that protect and promote the rights and interests of children and youth.
5bb3ae31da3c38c71367bd88,R30,"Organizations that work for increased harmony and understanding among diverse groups in the community and to reduce or eliminate tensions and violence based on age, gender, race, color, sexual preference, creed, national origin, income level or stereotypical identification."
5bb3ae31da3c38c71367bd89,R40,"Organizations that encourage citizens to participate in the political process, in a nonpartisan manner, by providing opportunities for political involvement, access to public officials, information that is necessary to make informed decisions at the ballot box or assistance in registering to vote."
5bb3ae31da3c38c71367bd8a,R60,Organizations that protect the rights of people guaranteed by the Constitution and promote the passage of laws or other social measures that extend individual rights or more effectively protect them. 
5bb3ae31da3c38c71367bd8b,R61,Organizations that support the passage and enforcement of laws and other social measures which preserve a womans right to terminate her pregnancy.
5bb3ae31da3c38c71367bd8c,R62,Organizations that support the passage of legislation which assigns legal rights to the unborn and seeks to criminalize the termination of unwanted pregnancies.
5bb3ae31da3c38c71367bd8d,R63,Organizations that support the right of the press to freedom of expression without censorship or other restrictions by government and/or which support the right of the media to maintain confidential sources.
5bb3ae31da3c38c71367bd8e,R67,Organizations that support the right of people who may be terminally ill to end their own lives in a planned manner either by active means or by the removal of life-support systems.
5bb3ae31da3c38c71367bd8f,R99,"Organizations that clearly provide civil rights, social action or advocacy services where the major purpose is unclear enough that a more specific code cannot be accurately assigned."
5bb3ae31da3c38c71367bd90,W30,Membership organizations that are engaged in promoting the interests of the veterans or active or retired military personnel who are their members.
5bb3ae31da3c38c71367bd91,W40,"Organizations that provide fixed-route mass transit services that utilize buses, trains, ferry boats or other vehicles to transport people within the limits of a city, a metropolitan area, a county or a multi-county region, or to move people from outlying areas into a city or metropolitan area."
5bb3ae31da3c38c71367bd92,W50,Organizations that furnish point-to-point communications services including telephone and telegraph services.
5bb3ae31da3c38c71367bd93,W60,"Organizations that provide an alternative to the traditional banking system for people who want to maintain checking or savings accounts, purchase money orders, cash third-party checks or engage in other financial transactions."
5bb3ae31da3c38c71367bd94,W61,"Cooperative 501(c)(14) associations that use money deposited by a group of people (e.g., fellow employees) and lend it out again to people in the same group at favorable interest rates."
5bb3ae31da3c38c71367bd95,W80,"Organizations that provide gas, electricity, water and sanitary services including the hook-up of services and the installation, maintenance and repair of necessary equipment."
5bb3ae32da3c38c71367bd96,W90,"Organizations that provide for the education and protection of individuals who purchase, use, maintain and dispose of products and services."
5bb3ae32da3c38c71367bd97,X20,Religious organizations that provide opportunities for people to satisfy their inner needs and enhance their spiritual growth through organized worship or through other devotional activities under the auspices of one of the group of religious faiths that is based on the teachings of Jesus Christ. 
5bb3ae32da3c38c71367bd98,X21,Religious organizations whose form of Christian faith and practice originated with the principles of the Reformation.  
5bb3ae32da3c38c71367bd99,X22,"Religious organizations characterized by their acknowledgement of the supreme authority of the bishop of Rome, the pope, in matters of faith.  "
5bb3ae32da3c38c71367bd9a,X30,"Organizations whose members are a worldwide group which constitutes a continuation through descent or conversion of the ancient Jewish people; who practice Judaism, a religion that is characterized by a belief in one God and in the mission of Jews to teach the oneness of God as revealed in the Hebrew scriptures. Organizations making reference to Lubavitch, Chabad, Yeshiva, and Torah should also be classified here, but not necessarily those mentioning Israel, Hebrew, and Shalom."
5bb3ae32da3c38c71367bd9b,X40,"Organizations whose members are followers of Islam, the religious faith and cultural system that is based on the belief in Allah as the sole deity, in Mohammed as the prophet of Allah and in the Koran as the revelation of Allah to Mohammed and the divinely authorized basis for the religious, social, civil, commercial, military and legal regulations of the Islamic world."
5bb3ae32da3c38c71367bd9c,X50,Organizations whose members are followers of the religion of eastern and central Asia that is based on the teachings of Gautama Buddha which stress that suffering is inherent in life and that one can achieve nirvana (release from suffering) through mental and moral self-purification. Includes Zen.
5bb3ae32da3c38c71367bd9d,X70,"Organizations whose members are followers of the religious philosophy that originated on the Indian subcontinent and is marked by an outlook that tends to view all forms and theories as aspects of one eternal being and truth; a belief in ahimsa, karma, dharma, samsara and moksha; and the practice of the way of works, the way of knowledge or the way of devotion as the means of release from the round of rebirths."
5bb3ae32da3c38c71367bd9e,X90,"Organizations representing multiple faiths that have gathered together to establish a worldwide Christian (or other religious) unity; to promote cooperation on such common tasks as supporting missions, working with students and sponsoring conferences; to establish mutual understanding regarding the fundamental issues of belief, worship and polity; and to serve as a united witness on world problems."
5bb3ae32da3c38c71367bd9f,L42,"A cooling center is a air-conditioned public space set up by local authorities to temporarily deal with the health effects of a heat wave. Cooling centers are meant to prevent hyperthermia caused by heat, humidity, and poor air quality. Cooling centers provide shade, water, and restrooms; medical attention and referrals to social services may also be offered. Their services are aimed at the homeless, at-risk populations such as the elderly, and those without air conditioning."
5bb3ae32da3c38c71367bda0,E39,"Organizations dedicated to the study, diagnosis, prevention, and treatment of diseases, disorders and conditions of the oral cavity, commonly in the dentition but also the oral mucosa, and of adjacent and related structures and tissues, particularly in the maxillofacial (jaw and facial) area."
5bb4ce6dda3c38c9a74a1c6f,F39,"Mental health first aid is a training program that teaches members of the public how to help a person developing a mental health problem (including a substance use problem), experiencing a worsening of an existing mental health problem, or in a mental health crisis. Like traditional first aid, Mental Health First Aid does not teach people to treat or diagnose mental health or substance use conditions. Instead, the training teaches people how to offer initial support until appropriate professional help is received or until the crisis resolves."
5bc787d9da3c38f0620b0240,B,"Organizations dedicated to the act or process of imparting or acquiring general knowledge, developing the powers of reasoning and judgment, and generally of preparing oneself or others intellectually for mature life."
5bc787d9da3c38f0620b0241,C,"Organizations whose primary purpose is to preserve, protect and improve the environment. Includes: Organizations that are involved in pollution control and abatement; conservation and development of natural resources; control or elimination of hazardous or toxic substances including pesticides; solid waste management; urban beautification and open spaces development; environmental education and outdoor survival; and botanical gardens and horticultural societies."
5bc787d9da3c38f0620b0242,D,"Organizations whose primary purpose is to provide for the care, protection and control of wildlife and domestic animals that are a part of the living environment; to help people develop an understanding of their pets; and to train animals for purposes of showing. Includes: Organizations that develop and maintain fisheries resources and wildlife habitats to preserve and protect endangered species and other wildlife; humane societies; veterinary services; aquariums; and zoos."
5bc787d9da3c38f0620b0243,E,Organizations dedicated to the maintenance or restoration of the health of the body or mind.
5bc787d9da3c38f0620b0244,F,Organizations dedicated to the psychological well-being and satisfactory adjustment to society and to the ordinary demands of life.
5bc787d9da3c38f0620b0245,G,"Also known as patient advocacy organizations, VHAs are composed of individuals, both lay and professional, voluntarily and democratically organized. Their mission is to combat a particular disease, disability, or group of diseases and disabilities, or to improve and protect the health of a particular group of people."
5bc787dada3c38f0620b0246,I,Organizations dedicated to addressing actions or omissions that constitute an offense that may be prosecuted by the state and may be punishable by law.
5bc787dada3c38f0620b0247,J,"Organizations dedicated to helping people prepare for, find, secure, retain, or receive fair remuneration for safe, suitable employment."
5bc787dada3c38f0620b0248,K,"Organizations that focus on the development, improvement, or distribution of food resources."
5bc787dada3c38f0620b0249,L,"Organizations that help people develop, construct, manage, or secure temporary or permanent housing. "
5bc787dada3c38f0620b024a,M,Organizations dedicated to the process of preparing for or responding to man-made and natural disasters.
5bc787dada3c38f0620b024b,N,Organizations dedicated to the refreshment of strength and spirits through organized and unorganized play.
5bc787dada3c38f0620b024c,O,Organizations dedicated to the preparation of young people to meed the challenges of adolescence and adulthood and achieve their full potential.
5bc787dada3c38f0620b024d,P,"Organizations dedicated to meeting basic health, welfare, and other needs of a society or group."
5bc787dada3c38f0620b024e,R,"Organizations whose primary purpose is to protect and promote the broad civil rights of groups and civil liberties of individuals, to work for the realization of specific social or political goals or to encourage the participation of people in the public policy debate. Includes: Organizations that work to improve relations between racial, ethnic, and cultural groups; advocacy and citizen action groups that work to change public policy and opinion in a variety of areas; organizations that use courts to protect and enlarge civil rights and liberties; and organizations that promote voter education and registration."
5bc787dbda3c38f0620b024f,W,"Organizations that support government administration, veterans' interests, public transportation systems, telecommunications, financial institutions leadership development, public utilities, or consumer protection."
5bc787dbda3c38f0620b0250,X,"Organizations dedicated to a set of beliefs concerning the cause, nature, and purpose of the universe, especially when considered as the creation of a superhuman agency or agencies, usually involving devotional and ritual observances, and often containing a moral code governing the conduct of human affairs."
5c929881a4f5428e5fce6afa,E41,"Organizations that provide preventive, diagnostic and treatment services for women and girls with regards to the female reproductive system, pregnancy, childbirth, and the postpartum period."
